HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	RefSeq IDs	RefSeq(supplied by NCBI)
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1	Symbol Withdrawn				
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved				NM_001173466
HGNC:12	AABT~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1	Symbol Withdrawn				
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2	Symbol Withdrawn				
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	NM_023928	NM_001319839
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	AACSL		NR_024035	NR_024035
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3	Symbol Withdrawn				
HGNC:17	AADAC	arylacetamide deacetylase	Approved		DAC, CES5A1	NM_001086	NM_001086
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved		MGC72001	NM_207365	NM_207365
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved				NR_110202
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved		OTTHUMG00000001887	NM_001103170	NM_001103170
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved		OTTHUMG00000001889	NM_001013630	NM_001013630
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved				NR_026915
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2, KYAT2	NM_016228	NM_001286682
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Approved	C9orf21		NM_153698	NM_153698
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved		FLJ11506, p34	NM_024666	NM_001271885
HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	NM_014911	NM_014911
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	NM_024684	NM_001316957
HGNC:18	AAMP	angio associated migratory cell protein	Approved			NM_001087	NM_001087
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		SNAT	NM_001088	NM_001088
HGNC:15886	AAR2	AAR2 splicing factor homolog	Approved	C20orf4	bA234K24.2	NM_015511	NM_001271874
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	LOC441376	NM_001025357	NM_001025357
HGNC:20	AARS	alanyl-tRNA synthetase	Approved		CMT2N, AlaRS	NM_001605	NM_001605
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	NM_020745	NM_020745
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved		MGC2744	NM_001261434	NM_001261434
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1	Approved				NG_043271
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	NM_181806	NM_001286668
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT, ACPS	NM_015423	NM_015423
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH	NM_005763	NM_005763
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved			NR_026961	NR_026961
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	NM_012138	NM_012138
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	NM_004920	NM_001080395
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved		AAV		
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved		INXS	NR_131907	NR_131907
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT	NM_020686	NM_000663
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1	Symbol Withdrawn				
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2	Symbol Withdrawn				
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3	Symbol Withdrawn				
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7	Symbol Withdrawn				
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1	Symbol Withdrawn				
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	TGD	NM_005502	NM_005502
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		NM_001606	NM_001606
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	ABC-C, EST111653, LBM180	NM_001089	NM_001089
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	NM_000350	NM_000350
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	NM_018672	NM_018672
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved		EST155051	NM_080284	NM_080284
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	NM_019112	NM_019112
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	NM_007168	NM_001288985
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved		EST640918	NM_172386	NM_080283
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved				NR_126414
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved		EST698739	NM_080282	NM_080282
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	ABCA11	EST1133530, FLJ14297	NR_002451.2	NR_002451
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	DKFZP434G232, LI2	NM_173076	NM_015657
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved		FLJ33876, FLJ33951	NM_152701	NM_152701
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved			NR_003574	NR_003574
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	NM_000927	NM_000927
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1	Symbol Withdrawn				
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2	Symbol Withdrawn				
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	NM_000443	NM_000443
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved		EST422562, ABCB5beta, ABCB5alpha	NM_178559	NM_001163941
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		EST45597, umat, MTABC3	NM_005689	NM_001349828
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	EST140535, Atm1p, ASAT	NM_004299	NM_001271696
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		EST328128, M-ABC1, MABC1	NM_007188	NM_001282291
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	NM_019624	NM_001243013
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		EST20237, M-ABC2, MTABC2	NM_012089	NM_012089
HGNC:14114	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2		NG_005041
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1	Symbol Withdrawn				
HGNC:31129	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3	Approved				NG_022122
HGNC:31130	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4	Approved				NG_022102
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	NM_003742	NM_003742
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	MRP, MRP1	GS-X	NM_004996	NM_004996
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	DJS, MRP2, cMRP	NM_000392	NM_000392
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	NM_020038	NM_001144070
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	NM_005845	NM_001105515
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	NM_005688	NM_001023587
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved				NR_046570
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7		NM_001079528
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved			NR_003569	NR_003569
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved			NR_023387	NR_023387
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR	Symbol Withdrawn				
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	NM_000352	NM_000352
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved		SUR2, CMD1O	NM_005691	NM_005691
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		EST182763, MRP7, SIMRP7	NM_033450	NM_001198934
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved		MRP8	NM_032583	NM_032583
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved		MRP9	NM_033226	NM_033226
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved		PRED6, C21orf73, ABCC13P		NR_003087
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	NM_000033	NM_000033
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved				NG_001246
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved		bA453N3.6		NG_001270
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved				NG_001269
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved				NG_001265
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved				NG_006974
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	ALDL1	ALDR, ALDRP	NM_005164	NM_005164
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	PMP70, ZWS2	NM_002858	NM_001122674
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	PMP69, P70R, EST352188	NM_005050	NM_001353591
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	NM_002940	NM_001040876
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147		NM_001025091
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	Approved				XR_001744078
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	NM_005692	NM_005692
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved				NG_022253
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved				NG_026596
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	NM_018358	NM_001351298
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	NM_207174	NM_004915
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	NM_004827	NM_001257386
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved		WHITE2	NM_022169	NM_001142505
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved		STSL	NM_022436	NM_022436
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved		GBD4	NM_022437	NM_001357321
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4	Symbol Withdrawn				
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		LABH1, FLJ36128	NM_032604	NM_032604
HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved		LABH2		NM_007011
HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved		LABH3		NM_001308256
HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved		FLJ12816		NM_022060
HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved		CGI-58, NCIE2	NM_016006	NM_001355186
HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved			NM_020676	NM_001320126
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	NM_024527	NM_024527
HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved		FLJ11342	NM_018394	NM_001272069
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226		NM_001145364
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Approved	WBSCR26, LINC00035	NCRNA00035	NR_026690	NR_026690
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	NM_015600	NM_001042472
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	BEM46L3		NM_001206673
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	NM_032859	NM_032859
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	NM_015407	NM_015407
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved				NM_001316331
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	NM_032750	NM_001146314
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			NM_198147	NM_198147
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved		linc-TP53I13, lnc-TP53I13		
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	BAT5	NG26, D6S82E		NM_001177515
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1		NM_080622
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	MGC5244	NM_031213	NM_001130111
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	NG_011738	NG_011738
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1	Symbol Withdrawn				
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	Approved	FAM108A4, FAM108A4P		XR_041784	NG_030366
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	Approved	FAM108A5, FAM108A5P			NG_023156
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	Approved	FAM108A6, FAM108A6P			NG_000002
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	Approved	FAM108A7P			NG_022988
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	Approved	FAM108A8P			NG_022980
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	Approved	FAM108A9P			NG_023021
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	Approved	FAM108A10P			NG_028293
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	CGI-67	NM_016014	NM_001025780
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved	FAM108C1		NM_021214	NM_021214
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	C4orf29	FLJ21106	NM_001039717	NM_001319305
HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	E3B1, ABI-1	NM_005470	NM_001012750
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	Approved	SSH3BP1P, ABI1P			NG_002531
HGNC:24011	ABI2	abl interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	NM_005759	NM_001282925
HGNC:29859	ABI3	ABI family member 3	Approved		NESH, SSH3BP3	NM_016428	NM_001135186
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved		NESHBP, DKFZP586L2024, TARSH		NM_001349329
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	NM_007313	NM_005157
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	NM_005158	NM_001136000
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin		NM_001003407
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved		KIAA1808	NM_001130083	NM_001130083
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	NM_014945	NM_001301015
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved		A3GALNT, A3GALT1	NM_020469	NM_020469
HGNC:81	ABR	ABR, RhoGEF and GTPase activating protein	Approved		MDB		NM_001092
HGNC:30655	ABRA	actin binding Rho activating protein	Approved		STARS	NM_139166	NM_139166
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	NM_021243	NM_021243
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	NM_139076	NM_001345962
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	Approved	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	NM_032182	NM_032182
HGNC:17369	ABT1	activator of basal transcription 1	Approved		Esf2		NM_013375
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	Approved			NG_025142	NG_025142
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	NM_172027	NM_032548
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	NM_145804	NM_145804
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved			NM_001607	NM_001130410
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	NM_006111	NM_006111
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	ACC1	NM_198836	NM_198834
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		HACC275, ACC2, ACCB	NM_001093	NM_001093
HGNC:86	ACAD~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved			NM_014384	NM_014384
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved		NPD002, MGC14452	NM_014049	NM_014049
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved		MGC5601	NM_025247	NM_001136538
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Approved		FLJ12592	NM_032169	NM_032169
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	Approved		LCAD, ACAD4	NM_001608	NM_001608
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	Approved		MCAD, MCADH, ACAD1		NM_000016
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	Approved		SCAD, ACAD3	NM_000017	NM_000017
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	Approved		SBCAD, ACAD7	NM_001609	NM_001330174
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	Approved		VLCAD, LCACD, ACAD6	NM_000018	NM_000018
HGNC:319	ACAN	aggrecan	Approved	MSK16, CSPG1, AGC1	CSPGCP	NM_001135	NM_001135
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	KIAA0050	NM_014716	NM_014716
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	NM_012287	NM_012287
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	Approved				
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	NM_030649	NM_030649
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	ACAT	THIL	NM_000019	NM_000019
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved			NM_005891	NM_001303253
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	NM_022735	NM_022735
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	Approved		RP11-275I14.4	NR_146443	NR_146443
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved		FLJ13322	NM_024722	NM_001135705
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved		DKFZp434A2417, KIAA1996	NM_145698	NM_001042473
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved		MGC2404	NM_032360	NM_032360
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved		FLJ38219, bA455B2.2		NM_001039844
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2	Symbol Withdrawn				
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA	Symbol Withdrawn				
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2	Symbol Withdrawn				
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6	Symbol Withdrawn				
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved		PHACS, ACS	NM_032592	NM_001127219
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Approved			NM_001031854	NM_001031854
HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	Approved		Ptop, Pip1, Tpp1, Tint1	NM_022914	NM_001082486
HGNC:2707	ACE	angiotensin I converting enzyme	Approved	DCP1	ACE1, CD143	NM_000789	NM_000789
HGNC:13557	ACE2	angiotensin I converting enzyme 2	Approved				NM_021804
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	Approved				NG_016186
HGNC:18356	ACER1	alkaline ceramidase 1	Approved	ASAH3		NM_133492	NM_133492
HGNC:23675	ACER2	alkaline ceramidase 2	Approved	ASAH3L	FLJ41587, ALKCDase2	NM_001010887	NM_001010887
HGNC:16066	ACER3	alkaline ceramidase 3	Approved	PHCA	FLJ11238, APHC	NM_018367	NM_001300953
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3	Symbol Withdrawn				
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA	Symbol Withdrawn				
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	Approved	YT		NM_015831	NM_000665
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3	Symbol Withdrawn				
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3	Symbol Withdrawn				
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3	Symbol Withdrawn				
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND	Symbol Withdrawn				
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG	Symbol Withdrawn				
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	ACINUS	KIAA0670, fSAP152	NM_014977	NM_001164814
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	FY, DARC	CCBP1, GPD, Dfy, CD234	NM_002036	NM_001122951
HGNC:1565	ACKR2	atypical chemokine receptor 2	Approved	CMKBR9, CCBP2	CCR10, D6, CCR9	NM_001296	NM_001296
HGNC:23692	ACKR3	atypical chemokine receptor 3	Approved	CMKOR1, CXCR7	RDC1, GPR159	NM_020311	NM_020311
HGNC:1611	ACKR4	atypical chemokine receptor 4	Approved	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	NM_016557	NM_016557
HGNC:114	ACLS	acrocallosal syndrome	Approved				
HGNC:115	ACLY	ATP citrate lyase	Approved		ATPCL, CLATP, ACL	NM_001096	NM_001096
HGNC:116	ACMG~withdrawn	entry withdrawn	Entry Withdrawn				
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Approved				NM_001307983
HGNC:117	ACO1	aconitase 1	Approved	IREB1	IRP1, IREBP	NM_002197	NM_001278352
HGNC:118	ACO2	aconitase 2	Approved		ACONM	NM_001098	NM_001098
HGNC:33904	ACOD1	aconitate decarboxylase 1	Approved	IRG1	CAD	NM_001258406	NM_001258406
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Approved		ACH2, CTE-1, LACH2	NM_001037161	NM_001037161
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Approved		Mte1, ZAP128	NM_006821	NM_006821
